#,Player ID,League,Season,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
174,1049538,Ligue 1,25/26,Angers,Ousmane Camara,Defender,6.84,0.03,0.02,0.0,0.43,0.17,0.23,7.69,0.1,60.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,1.03,5.83,0.83,0.23,0.03,0.03,0.03,0.0,0.33,0.0,0.0,0.0,0.13,45.08,40.85,4.24,90.6,32.7,8.14,1.13,0.0,0.0,1.39,41.58,32,31,2719,0.13,0.0,0.73,0.23,5.06,0.07,3.67,58.12,1.85,65.12,1.82,52.38
175,257205,Ligue 1,25/26,Le Havre,Sofiane Boufal,Forward,6.84,0.09,0.13,0.09,1.66,0.35,0.79,5.26,2.19,42.37,0.09,0.0,0.0,0.0,0.09,0.18,0.53,0.09,0.09,0.0,0.0,0.0,0.18,0.0,2.19,0.26,0.35,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.61,0.35,0.0,2.45,30.38,23.03,7.35,75.79,8.75,14.27,9.11,1.23,23.33,1.23,40.0,17,13,1028,0.18,0.0,2.1,2.8,20.22,1.84,7.53,47.78,7.18,47.13,0.35,66.67
176,1402698,Ligue 1,25/26,Lille,Ethan Mbappé,Midfielder,6.84,0.48,0.24,0.32,2.22,1.11,0.48,21.43,0.95,30.0,0.48,0.0,0.0,0.48,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.0,2.22,0.48,0.16,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.32,0.16,0.0,2.38,37.55,31.06,6.5,82.7,8.4,22.66,13.31,2.06,38.24,0.95,50.0,18,4,568,0.16,0.0,1.11,1.43,15.85,1.43,4.6,40.85,4.6,42.65,0.0,0.0
177,1638338,Ligue 1,25/26,RC Strasbourg,Gessime Yassine,Midfielder,6.83,0.0,0.14,0.18,1.4,0.18,0.7,0.0,1.75,34.48,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,4.03,0.35,0.18,0.0,1.05,0.0,0.18,0.0,0.0,0.0,0.53,0.18,0.0,1.4,31.34,25.91,5.43,82.68,8.23,17.68,11.73,0.7,21.05,0.18,25.0,12,6,514,0.0,0.0,1.58,3.33,16.81,2.1,9.11,53.61,9.11,53.61,0.0,0.0
178,945830,Ligue 1,25/26,Olympique de Marseille,Himad Abdelli,Midfielder,6.83,0.16,0.17,0.0,1.23,0.49,0.41,13.33,1.23,45.45,0.16,0.0,0.0,0.0,0.16,0.0,0.08,0.0,0.16,0.16,100.0,0.0,0.0,0.0,1.97,1.31,0.99,0.25,0.57,0.0,0.08,0.0,0.0,0.25,0.0,0.0,0.0,0.74,58.22,50.99,7.23,87.59,26.2,24.8,11.66,0.25,30.0,1.89,56.1,21,12,1096,0.16,0.0,1.56,0.99,11.74,0.99,4.93,50.42,4.19,48.11,0.74,69.23
179,806076,Ligue 1,25/26,Stade Rennais,Ludovic Blas,Midfielder,6.83,0.29,0.3,0.12,2.73,0.81,0.93,10.64,1.57,50.94,0.29,0.0,0.0,0.29,0.0,0.06,0.29,0.0,0.12,0.12,100.0,0.0,0.06,0.0,1.22,0.99,0.47,0.12,1.16,0.0,0.06,0.0,0.0,0.06,0.64,0.23,0.0,2.79,37.67,31.28,6.4,83.02,10.35,20.93,12.38,1.57,28.42,1.28,55.0,32,15,1548,0.0,0.0,1.4,1.57,15.76,1.57,4.71,41.75,4.36,43.6,0.35,27.27
180,988907,Ligue 1,25/26,Stade Rennais,Lilian Brassier,Defender,6.83,0.0,0.03,0.04,0.4,0.08,0.24,0.0,0.28,46.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.52,3.12,0.92,0.08,0.04,0.04,0.0,0.0,0.28,0.12,0.04,0.0,0.52,62.9,54.07,8.83,85.96,32.89,21.18,8.95,0.24,25.0,2.0,32.05,27,25,2252,0.08,0.0,1.08,0.84,12.19,0.44,3.8,57.23,2.28,54.81,1.52,61.29
181,973838,Ligue 1,25/26,Olympique Lyonnais,Abner Vinícius,Defender,6.83,0.12,0.06,0.08,0.71,0.29,0.12,17.65,0.37,40.91,0.08,0.04,0.0,0.04,0.08,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.29,1.66,0.17,0.58,0.0,0.04,0.0,0.0,0.42,0.21,0.08,0.08,0.96,41.63,35.18,6.45,84.52,13.6,21.59,11.85,0.79,29.69,2.0,58.54,26,25,2164,0.17,0.04,0.96,0.25,10.9,0.46,2.62,42.86,2.04,44.95,0.58,36.84
182,847983,Ligue 1,25/26,Stade Rennais,Sebastian Szymański,Midfielder,6.83,0.11,0.08,0.0,1.37,0.57,0.46,8.33,0.34,33.33,0.11,0.0,0.0,0.11,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.34,0.0,2.63,0.34,0.46,0.34,0.46,0.0,0.0,0.0,0.0,0.0,0.57,0.34,0.11,2.29,39.5,31.15,8.36,78.84,14.08,17.06,10.88,1.03,15.79,1.15,45.45,16,10,786,0.23,0.0,1.49,1.37,16.95,0.92,4.69,50.0,4.35,55.88,0.34,21.43
183,1022084,Ligue 1,25/26,Olympique Lyonnais,Tanner Tessmann,Midfielder,6.83,0.05,0.1,0.14,1.19,0.37,0.64,3.85,0.41,50.0,0.05,0.0,0.0,0.05,0.0,0.05,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.64,2.48,0.6,0.6,0.05,0.05,0.0,0.0,0.51,0.14,0.0,0.0,0.6,50.1,43.07,7.03,85.98,23.37,19.7,8.45,0.14,18.75,2.3,53.76,29,22,1960,0.09,0.0,0.96,0.87,10.15,0.69,3.77,51.57,2.62,50.0,1.15,55.56
