#,Player ID,League,Season,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
528,1462786,La Liga,24/25,Valencia,Martín Tejón,Midfielder,6.53,0.0,0.16,0.0,2.0,2.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,40.0,10.0,80.0,8.0,32.0,18.0,0.0,0.0,0.0,0.0,4,0,45,0.0,0.0,2.0,2.0,24.0,6.0,10.0,33.33,10.0,41.67,0.0,0.0
529,1153335,La Liga,24/25,FC Barcelona,Sergi Domínguez,Defender,6.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.56,3.64,0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,93.12,88.44,4.68,94.97,54.1,34.34,7.8,0.0,0.0,1.04,50.0,3,2,173,0.52,0.0,1.04,0.0,4.68,0.0,1.04,28.57,0.52,33.33,0.52,25.0
530,149370,La Liga,24/25,Osasuna,Moi Gómez,Midfielder,6.52,0.0,0.05,0.0,0.66,0.11,0.0,0.0,1.54,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.0,1.43,0.66,0.77,0,0.44,0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.0,1.21,51.05,42.25,8.8,82.76,16.06,27.62,11.88,1.43,46.43,2.42,53.66,26,6,818,0.11,0.0,1.54,0.66,13.75,0.88,4.4,45.98,3.63,48.53,0.77,36.84
531,1841875,La Liga,24/25,Getafe,Alberto Risco,Midfielder,6.52,0.0,0.2,0.0,4.5,1.12,0.0,0.0,1.12,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,34.88,25.87,9.0,74.19,7.87,21.38,12.38,3.38,75.0,1.12,33.33,5,0,80,0.0,0.0,1.12,2.25,27.0,4.5,9.0,30.77,7.87,31.82,1.12,25.0
532,914212,La Liga,24/25,Leganés,Miguel de la Fuente,Forward,6.52,0.05,0.25,0.46,1.81,0.83,0.57,2.86,0.41,24.24,0.05,0.0,0.0,0.0,0.05,0.05,0.62,0.0,0.1,0.05,50.0,0.0,0.0,0.0,0.83,0.21,1.14,0,0.52,0.05,0.0,0.0,0.0,0.1,0.1,0.15,0.0,0.36,11.52,6.97,4.55,60.54,2.38,4.7,2.27,0.1,22.22,0.21,36.36,34,17,1742,0.15,0.0,1.19,1.55,11.62,1.34,4.29,31.56,2.79,39.42,1.5,23.02
533,210082,La Liga,24/25,Celta Vigo,Javier Manquillo,Defender,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,1.22,2.26,0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.37,57.27,6.09,90.38,37.95,19.5,7.49,0.17,33.33,0.35,16.67,10,7,517,0.17,0.0,1.57,0.17,6.96,0.0,2.26,33.33,1.39,32.0,0.87,35.71
534,990232,La Liga,24/25,Valencia,Alberto Mari,Forward,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,15.0,50.0,0.0,15.0,7.5,0.0,0.0,0.0,0.0,1,0,12,0.0,0.0,7.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,1086346,La Liga,24/25,Osasuna,Iker Benito,Forward,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,5.14,0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,28.29,23.14,5.14,81.82,7.71,15.43,0.0,0.0,0.0,0.0,0.0,2,0,35,0.0,0.0,2.57,2.57,15.43,0.0,2.57,20.0,2.57,25.0,0.0,0.0
536,1892528,La Liga,24/25,Girona FC,Min-su Kim,Forward,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,40.5,4.5,90.0,9.0,31.5,18.0,0.0,0.0,0.0,0.0,3,0,20,0.0,0.0,0.0,4.5,31.5,4.5,9.0,33.33,9.0,40.0,0.0,0.0
537,2065347,La Liga,24/25,Espanyol,Roger Hinojo,Defender,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.75,45.0,33.75,57.14,22.5,22.5,22.5,0.0,0.0,0.0,0.0,1,0,8,0.0,0.0,0.0,0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
