#,Player ID,League,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
93,962710,La Liga,Elche,Germán Valera,Midfielder,6.97,0.13,0.08,0.06,0.87,0.26,0.39,14.81,1.2,48.68,0.1,0.03,0.0,0.1,0.03,0.03,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.68,1.39,0.26,0.42,0.0,0.06,0.0,0.0,0.1,0.42,0.16,0.03,1.49,36.48,31.9,4.59,87.42,9.31,22.59,13.25,0.84,25.24,0.81,50.0,35,32,2785,0.13,0.03,1.2,2.26,12.57,0.9,5.56,56.95,5.2,58.55,0.36,40.74
94,988351,La Liga,Mallorca,Samú Costa,Midfielder,6.97,0.24,0.14,0.07,1.33,0.54,0.51,17.95,0.48,27.45,0.2,0.03,0.07,0.17,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.85,3.0,0.44,1.23,0.0,0.1,0.0,0.0,0.14,0.03,0.07,0.0,0.51,41.71,33.34,8.38,79.92,16.92,16.41,6.95,0.1,10.0,2.32,56.2,33,30,2643,0.34,0.0,2.15,2.28,13.25,1.06,7.36,51.55,4.77,46.2,2.59,65.52
95,798835,La Liga,Real Betis,Giovani Lo Celso,Midfielder,6.97,0.13,0.16,0.13,1.92,0.73,0.6,6.9,0.99,48.39,0.13,0.0,0.07,0.0,0.07,0.07,0.26,0.0,0.0,0.0,0.0,0.0,0.26,0.0,1.26,0.4,0.46,0.0,0.79,0.0,0.0,0.07,0.0,0.0,0.4,0.2,0.0,2.12,55.39,48.71,6.68,87.93,17.47,31.24,18.79,1.12,27.87,2.25,72.34,23,15,1360,0.26,0.0,0.6,2.78,14.36,1.32,5.69,56.95,5.03,57.14,0.66,55.56
96,138149,La Liga,Sevilla,Odysseas Vlachodimos,Goalkeeper,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.27,0.0,0.0,0.0,0.09,0.0,0.0,0.15,0.0,0.0,0.0,0.0,29.33,18.7,10.64,63.74,14.3,4.39,0.91,0.0,0.0,6.24,37.25,33,33,2970,0.06,0.0,0.0,0.06,10.94,0.0,0.21,87.5,0.09,100.0,0.12,80.0
97,1108450,La Liga,Getafe,Zaid Romero,Defender,6.97,0.07,0.06,0.0,0.64,0.07,0.36,11.11,1.0,70.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,2.0,6.29,0.21,0.36,0.0,0.07,0.07,0.0,0.43,0.0,0.0,0.0,0.07,28.07,19.21,8.86,68.45,11.64,7.57,3.21,0.07,25.0,2.86,36.04,14,14,1260,0.21,0.07,0.79,0.79,11.5,0.5,5.71,61.07,3.93,67.07,1.79,51.02
98,99519,La Liga,Real Betis,Marc Bartra,Defender,6.97,0.05,0.04,0.0,0.73,0.23,0.41,6.25,0.27,75.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,2.04,1.22,7.21,1.13,1.04,0.0,0.14,0.05,0.05,0.27,0.0,0.0,0.0,0.23,52.85,45.73,7.12,86.52,32.12,13.61,4.67,0.05,33.33,3.45,44.44,25,21,1984,0.14,0.0,0.68,0.5,8.3,0.14,4.76,59.66,2.81,60.19,1.95,58.9
99,1468046,La Liga,Villarreal,Santiago Mouriño,Defender,6.97,0.04,0.04,0.0,0.59,0.12,0.31,6.67,0.51,56.52,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,1.06,4.75,0.35,2.2,0.0,0.08,0.0,0.0,0.24,0.04,0.08,0.0,0.27,45.55,38.13,7.41,83.72,23.07,15.07,5.96,0.0,0.0,1.49,40.43,27,26,2294,0.35,0.04,2.08,1.33,11.34,0.24,7.18,55.45,5.77,54.24,1.41,61.02
100,359272,La Liga,Real Betis,Sofyan Amrabat,Midfielder,6.96,0.0,0.02,0.0,0.56,0.07,0.28,0.0,0.42,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.76,1.04,0.28,1.04,0.0,0.07,0.0,0.0,0.21,0.0,0.0,0.0,0.49,62.36,56.81,5.56,91.09,30.9,25.9,9.86,0.0,0.0,3.68,67.95,17,14,1296,0.28,0.0,1.53,1.32,7.71,0.28,3.89,53.85,3.61,56.52,0.28,33.33
101,944656,La Liga,Atlético Madrid,Julián Alvarez,Forward,6.96,0.38,0.36,0.38,2.56,1.23,0.85,14.81,1.23,50.0,0.24,0.14,0.0,0.14,0.24,0.14,0.09,0.0,0.14,0.09,66.67,0.09,0.33,28.57,0.99,0.14,0.24,0.0,0.71,0.0,0.0,0.0,0.0,0.05,0.47,0.19,0.0,2.22,32.6,27.21,5.39,83.45,7.71,19.5,12.82,1.28,31.76,1.18,73.53,29,22,1902,0.09,0.0,0.66,0.85,13.63,1.56,3.31,40.0,3.08,43.05,0.24,20.83
102,70988,La Liga,Real Madrid,Thibaut Courtois,Goalkeeper,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.65,0.0,0.1,0.0,0.0,0.03,0.0,0.42,0.03,0.0,0.0,0.03,30.81,24.45,6.35,79.37,22.55,1.9,0.58,0.0,0.0,3.61,36.72,31,31,2790,0.03,0.0,0.03,0.06,6.45,0.0,0.26,61.54,0.1,42.86,0.16,83.33
